LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.08237604 -0.08237604 -0.08237604) to (16.375376 16.375376 16.375376)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.333 seconds
The scaling is : 2.85e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.075 | 3.075 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2583.5079     -9904.7174      4457.7073     -137156.54    
       100   2555.2065      2796.0975      4430.546      -137160.15    
       200   2296.6014     -8129.3616      4400.1612     -137159.01    
       300   2429.3223      7580.2229      4326.9079     -137160.85    
       400   2528.771       2477.1982      4275.2369     -137162.55    
       500   2553.9453      12371.47       4266.0071     -137162.84    
       600   2364.9579     -4768.1261      4325.7567     -137158.98    
       700   2489.5003     -11725.469      4377.2711     -137160.41    
       800   2714.2673     -203.72703      4392.61       -137158.65    
       900   2570.3192     -1950.9829      4408.9756     -137156.96    
      1000   2418.1432     -3477.5045      4417.3254     -137160.22    
      1100   2279.728      -3273.8519      4406.5589     -137156.61    
      1200   2571.3699     -4956.8538      4366.1887     -137161.83    
      1300   2511.5135      7400.343       4323.5414     -137159.28    
      1400   2425.1729     -2617.8681      4311.0689     -137160.73    
      1500   2310.0731     -2054.245       4279.1184     -137165.94    
      1600   2446.2954      9005.7965      4221.2512     -137168.41    
      1700   2625.4448      2470.2821      4196.1206     -137166.28    
      1800   2583.255       11497.495      4216.6007     -137163.32    
      1900   2361.83       -4529.3461      4299.5742     -137158.8     
      2000   2433.7868     -4086.0546      4367.2451     -137160.9     
      2100   2446.5009     -2829.6235      4409.5486     -137158.96    
      2200   2542.5967     -11084.49       4429.7118     -137158.62    
      2300   2560.7338      7722.0017      4415.7158     -137155.41    
      2400   2626.5286      4437.1023      4411.1376     -137158.68    
      2500   2370.8135     -477.11719      4434.4845     -137159.63    
      2600   2316.5564     -5028.07        4446.1076     -137158.99    
      2700   2593.4362     -6874.9142      4414.3531     -137162.12    
      2800   2585.0501      2013.6271      4355.5449     -137158.17    
      2900   2642.6411      8320.9421      4308.3075     -137157.23    
      3000   2539.6651      10757.475      4314.2055     -137163.4     
      3100   2395.099       3371.88        4365.628      -137165.83    
      3200   2269.3669     -8105.8377      4420.7913     -137158.56    
      3300   2418.4066      2423.7086      4447.6874     -137154.87    
      3400   2452.1301      2140.5844      4470.9837     -137153.85    
      3500   2487.854       3139.3337      4501.8236     -137153.43    
      3600   2558.1038     -9788.4444      4518.0123     -137155.62    
      3700   2405.5023     -6174.4891      4476.6642     -137157.25    
      3800   2259.752      -1496.2379      4389.5892     -137158.48    
      3900   2503.0969      7932.6264      4280.2768     -137162.13    
      4000   2701.3944      18414.823      4228.4698     -137160.56    
      4100   2642.4901      7160.5498      4264.4597     -137161.86    
      4200   2409.0194     -10897.216      4344.8794     -137163.49    
      4300   2489.3051     -6095.9618      4403.5168     -137163.03    
      4400   2568.2157      1452.7159      4417.3523     -137159.86    
      4500   2600.4105     -1902.0888      4420.7075     -137156.86    
      4600   2727.7656     -2083.9765      4415.266      -137156.68    
      4700   2504.8705      7192.7059      4410.4579     -137157.43    
      4800   2345.7882     -2250.1181      4437.7552     -137159.45    
      4900   2382.5937      4016.7967      4448.9089     -137160.02    
      5000   2575.5648     -3935.7346      4471.8668     -137159.54    
      5100   2694.592      -5873.2949      4479.7347     -137156.77    
      5200   2653.5271     -13188.978      4469.2376     -137159.09    
      5300   2489.483      -2959.782       4412.6934     -137165.58    
      5400   2472.872      -3360.9274      4353.7815     -137164.7     
      5500   2749.6053      2779.2099      4313.095      -137167       
      5600   2575.8699      8177.9072      4321.1034     -137162.16    
      5700   2270.1255      1335.9961      4394.9981     -137161.1     
      5800   2228.7689     -14544.76       4465.1031     -137163.04    
      5900   2544.0443      2875.0309      4451.9495     -137160.97    
      6000   2406.9828      9416.3543      4439.8412     -137152.68    
      6100   2535.4371     -4410.5087      4485.4195     -137154.47    
      6200   2446.8025     -13075.878      4513.6733     -137154.62    
      6300   2214.5936      4126.4997      4454.5449     -137154.31    
      6400   2506.5446      1148.1862      4371.8439     -137163.15    
      6500   2786.7932     -355.29655      4274.1624     -137162.05    
      6600   2731.9967      20914.792      4202.3179     -137161.23    
      6700   2507.9432      9706.7539      4263.9971     -137164.94    
      6800   2449.7988     -8542.944       4403.8711     -137164.43    
      6900   2367.5664     -10979.854      4501.7329     -137157.51    
      7000   2719.2824     -11006.74       4526.744      -137158.64    
      7100   2652.5204      1147.0594      4500.4011     -137157.62    
      7200   2435.7557     -3502.4386      4457.0374     -137157.91    
      7300   2632.1934     -3477.5681      4379.2519     -137165.14    
      7400   2486.0609      7051.0007      4311.6838     -137164.26    
      7500   2059.1827     -4080.5087      4290.9127     -137162.53    
      7600   2392.2021      1495.5591      4248.0536     -137166.95    
      7700   2448.6792      8783.3792      4220.0324     -137162.52    
      7800   2646.455       8391.5928      4259.86       -137164.69    
      7900   2528.4151     -550.08274      4363.2752     -137161.69    
      8000   2481.2533     -12168.319      4457.955      -137159.08    
      8100   2643.2083     -14963.942      4488.3892     -137155.2     
      8200   2761.7768      2884.1083      4457.8273     -137155.89    
      8300   2527.9998     -3025.5391      4435.6005     -137158.47    
      8400   2453.9363     -336.40662      4426.9176     -137159.35    
      8500   2480.5406     -3555.2319      4403.9317     -137159.81    
      8600   2614.1494     -9304.8542      4350.9247     -137162.26    
      8700   2533.8363      10075.257      4266.0794     -137162.99    
      8800   2322.5717      8794.3908      4230.7239     -137163.73    
      8900   2415.6043     -4042.6863      4243.4251     -137167.76    
      9000   2685.7723      2305.7459      4263.8597     -137166.53    
      9100   2507.9063     -3052.2287      4309.8716     -137158.99    
      9200   2537.5317      1613.7362      4348.9771     -137160.92    
      9300   2479.2891     -6840.998       4371.9505     -137162.02    
      9400   2333.381      -2584.2862      4346.446      -137158.01    
      9500   2617.0563      9717.9864      4307.4246     -137157.46    
      9600   2687.5477      9334.6429      4314.8697     -137159       
      9700   2360.1096     -2725.1436      4390.7091     -137157.99    
      9800   2400.4162     -7234.458       4468.2658     -137160.44    
      9900   2512.9714     -8563.6506      4487.6842     -137161.65    
     10000   2342.5975     -305.54668      4436.1945     -137155.49    
     10100   2605.5916      7695.4407      4356.5646     -137160.04    
     10200   2505.0548      7898.0597      4318.9434     -137158.61    
     10300   2504.3807      3648.3589      4322.407      -137161.57    
     10400   2457.4786      1035.3514      4352.1499     -137161.18    
     10500   2357.304       3356.93        4371.3725     -137158.64    
     10600   2390.526       6896.3141      4376.0707     -137156.26    
     10700   2620.0353      14659.502      4393.0462     -137153.92    
     10800   2738.1758     -6559.3528      4479.9889     -137158.36    
     10900   2191.4875     -1612.4057      4526.8018     -137149.93    
     11000   2537.4029     -4823.9792      4496.0537     -137158.1     
     11100   2569.3884     -6973.5653      4421.9851     -137156.85    
     11200   2691.6554      7798.8162      4298.6023     -137160.31    
     11300   2605.1346      217.12533      4206.1395     -137165.87    
     11400   2411.8955      14252.926      4147.9103     -137166.11    
     11500   2402.6125      9822.238       4153.0286     -137166.01    
     11600   2486.8378     -2994.3389      4207.7541     -137164.18    
     11700   2633.1387      708.58769      4270.2658     -137160.23    
     11800   2478.568       7279.7543      4351.7845     -137155.48    
     11900   2531.2713     -2220.0911      4424.8412     -137159.52    
     12000   2394.6027     -8202.6823      4442.1924     -137157.45    
     12100   2589.0527      137.1613       4398.8571     -137158.46    
     12200   2945.9847      760.93376      4365.6296     -137162.56    
     12300   2401.7308      706.52722      4377.1006     -137157.94    
     12400   2449.8577     -2372.0663      4390.5439     -137161.63    
     12500   2418.9567     -5478.0162      4374.4718     -137156.7     
     12600   2601.8156      10889.252      4329.3837     -137156.96    
     12700   2572.2685      7789.2787      4328.3975     -137160.28    
     12800   2340.5545      2388.2737      4343.6522     -137161.48    
     12900   2399.5123      6570.9791      4372.9499     -137161.56    
     13000   2593.6453     -8722.5135      4435.1441     -137162.22    
     13100   2521.5773     -3316.1302      4472.9754     -137156.35    
     13200   2472.3168     -3758.3217      4483.6723     -137151.57    
     13300   2792.9401     -3537.5346      4446.7687     -137154.5     
     13400   2681.7227      1670.68        4393.1316     -137156.68    
     13500   2451.7105      615.7253       4389.2132     -137158.59    
     13600   2493.7177     -2766.5553      4381.0365     -137161.01    
     13700   2483.6553      294.31664      4350.889      -137158.28    
     13800   2698.9149      4022.554       4335.6481     -137158.67    
     13900   2510.1797      5394.1938      4354.7248     -137155.7     
     14000   2225.2414     -1924.054       4394.5926     -137155.98    
     14100   2540.9456     -8171.3743      4405.1658     -137161.21    
     14200   2519.1703      9804.468       4382.7673     -137156.86    
     14300   2727.4862     -6097.7617      4386.7267     -137165.51    
     14400   2231.1125     -1653.8379      4373.4329     -137159.55    
     14500   2215.034      -7725.6195      4336.9951     -137160.74    
     14600   2650.1067      8173.8759      4274.2822     -137162.15    
     14700   2620.5348      7414.3541      4271.4954     -137160.03    
     14800   2440.2837     -7161.1177      4333.4717     -137162.41    
     14900   2315.208      -7352.7009      4392.933      -137158.44    
     15000   2513.0581      7259.9666      4417.1207     -137155.99    
     15100   2475.7041     -4964.4543      4442.9428     -137154.94    
     15200   2566.1175     -10048.568      4446.8011     -137158.06    
     15300   2387.6174      275.97766      4408.9224     -137159.31    
     15400   2472.9022      3385.1055      4330.4465     -137169.54    
     15500   2269.2869      5045.4753      4248.2856     -137163.74    
     15600   2590.2293      10179.006      4208.3109     -137166.02    
     15700   2622.1957     -2602.6208      4253.5617     -137164.89    
     15800   2395.3854      2815.9691      4331.9444     -137159.63    
     15900   2522.2525     -4203.8523      4431.6257     -137160.45    
     16000   2673.502       38.505505      4525.6514     -137156.77    
     16100   2566.9437     -3203.3141      4608.0075     -137150.11    
     16200   2330.663      -10147.033      4634.2988     -137150.18    
     16300   2412.5894     -12915.924      4558.6709     -137158.66    
     16400   2623.3357      4792.8667      4408.9215     -137162.58    
     16500   2651.1882      4210.1913      4288.8675     -137161       
     16600   2659.1471      10203.77       4240.236      -137165.51    
     16700   2348.0354     -3021.3501      4264.8469     -137165.34    
     16800   2467.4196      9827.5979      4287.184      -137167.51    
     16900   2594.6029     -3142.8661      4361.2583     -137165.38    
     17000   2553.6371      1448.2173      4424.6497     -137158.44    
     17100   2453.8206      784.48624      4464.3124     -137153.65    
     17200   2661.2223     -896.33724      4466.9738     -137158.52    
     17300   2231.7922      4177.1765      4446.5035     -137156.82    
     17400   2253.4136     -3971.7184      4421.6085     -137162.86    
     17500   2473.4859      5750.2228      4383.2968     -137160.71    
     17600   2581.4842     -6850.2406      4377.5972     -137156.67    
     17700   2625.1935      9412.8507      4339.1838     -137157.98    
     17800   2565.1806     -6085.6326      4330.3573     -137164.78    
     17900   2422.55       -1825.2002      4326.7903     -137165.11    
     18000   2392.7542      742.68377      4319.6902     -137161.2     
     18100   2544.4026      880.00624      4316.464      -137158.77    
     18200   2611.3669     -6542.6077      4341.7661     -137160.11    
     18300   2434.3964      4868.5609      4389.6526     -137159.3     
     18400   2345.0512     -3457.6928      4449.2897     -137157.78    
     18500   2604.3459     -8392.9178      4441.5262     -137160.13    
     18600   2792.031       9376.5034      4397.4785     -137155.49    
     18700   2676.3255     -1708.6043      4403.2638     -137158.52    
     18800   2616.6819     -5506.103       4422.6713     -137162.34    
     18900   2272.3414      13740.748      4418.5445     -137156.59    
     19000   2547.6265     -6890.0666      4431.2279     -137165.15    
     19100   2413.1653     -2321.3397      4429.3361     -137161.15    
     19200   2650.4241      4872.8097      4401.067      -137159.93    
     19300   2640.3348      10873.471      4387.5556     -137159.49    
     19400   2531.4382     -570.41547      4420.6644     -137164.13    
     19500   2359.1521     -6646.1394      4449.0699     -137160.84    
     19600   2411.5744     -7508.3315      4431.2879     -137157.95    
     19700   2669.8912     -1399.2666      4346.7311     -137162.52    
     19800   2677.1723      2827.1189      4271.0637     -137164.33    
     19900   2503.294       5635.7024      4246.8552     -137163.08    
     20000   2514.328      -759.25986      4272.2982     -137168.02    
     20100   2276.9193     -8232.3306      4320.9157     -137162.66    
     20200   2544.6216      8279.6016      4337.7151     -137155.98    
     20300   2548.8424      5345.7025      4387.9949     -137155.73    
     20400   2377.4761     -6149.7289      4449.6683     -137155.98    
     20500   2385.0285     -6256.1944      4457.6924     -137158.3     
     20600   2368.458      -95.268541      4415.8536     -137152.38    
     20700   2720.8933      4112.1687      4359.9742     -137155.34    
     20800   2825.4103      252.72375      4321.5992     -137162.81    
     20900   2560.6883      16696.822      4303.8504     -137161.73    
     21000   2494.9973     -2218.8556      4356.6076     -137164.46    
     21100   2394.7067     -6849.1229      4426.3813     -137160.35    
     21200   2411.5798     -4355.0938      4472.3981     -137151.46    
     21300   2540.2423     -7356.5229      4463.0788     -137152.88    
     21400   2548.3904      9208.1756      4408.8914     -137154.3     
     21500   2500.1108     -1697.1009      4367.6647     -137159.72    
     21600   2350.727       5747.4139      4325.3374     -137160.06    
     21700   2619.9431      1387.4645      4309.4777     -137167.5     
     21800   2743.1933      10774.704      4352.8278     -137161.97    
     21900   2572.9222     -5890.5507      4481.6646     -137152.65    
     22000   2402.3454     -7893.1802      4588.6174     -137150.04    
     22100   2507.8371     -11439.551      4617.4529     -137154.18    
     22200   2498.4267     -8751.9873      4543.4357     -137156.21    
     22300   2496.8465     -5237.2167      4422.8768     -137157.74    
     22400   2677.3032     -4325.843       4305.4939     -137165.35    
     22500   2452.1709      7986.1875      4209.2713     -137166.22    
     22600   2410.7976      8137.4841      4175.1279     -137167.86    
     22700   2546.1084      204.48622      4209.5572     -137167.34    
     22800   2711.3602      6736.4056      4264.7854     -137161.07    
     22900   2667.789       2552.6998      4340.763      -137158.15    
     23000   2602.4385     -11408.114      4406.6759     -137160.77    
     23100   2527.1582     -3270.4322      4422.6689     -137161.04    
     23200   2357.2649     -2910.6808      4394.6047     -137159.65    
     23300   2418.4228      6837.114       4335.2247     -137162.72    
     23400   2554.9474      3245.6556      4292.5399     -137166.4     
     23500   2401.659       10546.412      4282.9499     -137159.5     
     23600   2546.4891      11936.909      4332.3352     -137156.47    
     23700   2570.9524     -6688.5083      4424.1437     -137153.89    
     23800   2569.4163     -9738.2761      4469.3379     -137157.03    
     23900   2358.0233      393.7756       4450.4604     -137161.15    
     24000   2379.7056      3369.7658      4401.8644     -137162.21    
     24100   2336.0239     -4929.0337      4376.3364     -137157.11    
     24200   2524.2906      5939.1186      4339.0671     -137157.98    
     24300   2568.8304      13960.057      4324.9368     -137159.21    
     24400   2449.3256     -6694.3569      4374.5932     -137161.08    
     24500   2118.4999     -5256.7818      4386.5668     -137161.69    
     24600   2442.2415      1397.0218      4343.7102     -137167.26    
     24700   2612.8045      1986.0457      4316.4661     -137167.75    
     24800   2472.1511      531.99713      4357.4958     -137159.75    
     24900   2680.896      -9875.2596      4389.5105     -137160.78    
     25000   2553.15        290.14561      4366.4327     -137155.95    
     25100   2398.8186     -1526.8131      4332.083      -137160.33    
     25200   2467.3642     -995.30818      4307.636      -137168.01    
     25300   2431.2861      2718.3853      4295.372      -137168.77    
     25400   2448.6048     -37.335537      4289.4004     -137164.41    
     25500   2670.8806      4050.4333      4292.9094     -137162.71    
     25600   2535.3987     -4726.1724      4313.1106     -137161.11    
     25700   2464.1497     -7752.5165      4312.6836     -137162.55    
     25800   2441.5451      2527.8799      4283.0127     -137162.56    
     25900   2733.3951      9734.448       4251.0089     -137163.83    
     26000   2749.3432      3255.7327      4276.0815     -137157.18    
     26100   2574.8126     -6896.7087      4315.8706     -137159.57    
     26200   2452.9947     -1670.1738      4331.3671     -137161.99    
     26300   2318.5912      5619.4715      4329.8721     -137158.84    
     26400   2577.9496     -6002.2866      4325.2676     -137165.51    
     26500   2455.2377      7627.4556      4296.0533     -137163.22    
     26600   2330.2967      749.18932      4296.3237     -137165.48    
     26700   2236.1967      8204.5524      4325.0416     -137164.01    
     26800   2551.4706     -9867.8283      4383.6412     -137163.36    
     26900   2588.2958     -2322.93        4398.6584     -137159.4     
     27000   2719.7246      3466.456       4410.0558     -137161.59    
     27100   2426.6431     -5100.7023      4464.7582     -137160.59    
     27200   2328.5321     -6581.1564      4473.1567     -137160.96    
     27300   2363.2909     -2928.4124      4406.291      -137158.62    
     27400   2479.4442      10414.808      4308.6775     -137158.76    
     27500   2643.9852      8095.0878      4260.877      -137165.66    
     27600   2491.6614      3350.1262      4277.973      -137165.77    
     27700   2530.167      -9041.8258      4342.5606     -137165.57    
     27800   2510.8335     -7043.0294      4385.5222     -137155.32    
     27900   2738.109       8398.4209      4387.4773     -137155.97    
     28000   2773.1789     -17399.684      4419.0048     -137162.84    
     28100   2433.9992     -5049.9785      4377.2834     -137159.75    
     28200   2596.5365      10104.659      4300.7786     -137164.95    
     28300   2478.3414      11605.256      4274.2594     -137162.33    
     28400   2609.9448      8463.3589      4316.5444     -137165.05    
     28500   2421.5984     -9127.0879      4409.5753     -137156.58    
     28600   2572.5403     -8592.6704      4467.377      -137155.14    
     28700   2567.8258      5685.9017      4464.7245     -137153.21    
     28800   2307.727       730.54265      4445.9262     -137153.11    
     28900   2377.7909     -7160.514       4401.0693     -137160.89    
     29000   2505.6304     -840.67424      4321.69       -137163.11    
     29100   2594.1         6511.3819      4258.7899     -137163.88    
     29200   2511.9783      7945.0427      4256.6799     -137163       
     29300   2469.0936      4999.8605      4317.6854     -137162.05    
     29400   2515.5835     -8140.2213      4420.8092     -137160.99    
     29500   2454.3105     -8514.3796      4470.3503     -137154.51    
     29600   2628.658       6114.2455      4458.979      -137152.74    
     29700   2531.1274     -7509.017       4453.4314     -137156.19    
     29800   2484.5641      2935.4488      4415.2616     -137157.49    
     29900   2443.6883     -5427.6882      4375.7902     -137156.9     
     30000   2609.4119      5701.3879      4313.6701     -137160.04    
     30100   2708.5278      930.7353       4288.6226     -137159.55    
     30200   2601.1296      1507.3218      4271.3869     -137165.28    
     30300   2556.6734     -6678.9049      4261.9556     -137170.12    
     30400   2219.9265      8944.4662      4251.7826     -137161.75    
     30500   2369.7446      10595.927      4274.2094     -137159.52    
     30600   2685.0946     -11908.332      4335.6033     -137162.05    
     30700   2617.6036      2039.1086      4375.8164     -137162.39    
     30800   2351.7077     -5705.7251      4430.2382     -137157.89    
     30900   2542.9042     -8166.064       4456.9845     -137159.83    
     31000   2703.3102     -13621.097      4455.5949     -137157.86    
     31100   2373.0525     -655.44118      4388.2254     -137156.16    
     31200   2407.6678      4074.0211      4293.2244     -137164.98    
     31300   2443.8914      15428.923      4241.7162     -137165.94    
     31400   2453.5617      1843.3723      4271.2847     -137162.48    
     31500   2602.3179      4359.9391      4320.9904     -137160.39    
     31600   2678.8328      1725.3739      4409.455      -137161.08    
     31700   2412.2606     -15070.852      4531.806      -137158.89    
     31800   2094.5973     -12734.042      4598.6448     -137154.95    
     31900   2319.632      -7133.9894      4559.8889     -137152.16    
     32000   2592.4067     -408.06328      4429.728      -137155.89    
     32100   2667.933       18091.572      4278.325      -137162.04    
     32200   2379.6638      8553.815       4227.2798     -137161.53    
     32300   2368.1542      9766.1835      4236.0592     -137161.52    
     32400   2602.1991      4041.5829      4313.1362     -137161.68    
     32500   2626.7814     -11426.77       4440.3123     -137158.97    
     32600   2370.0417     -11148.923      4521.3574     -137150.98    
     32700   2503.0169     -1621.1933      4529.4574     -137154.23    
     32800   2437.2467     -176.52859      4512.7126     -137154.74    
     32900   2383.6138     -5386.3942      4473.5389     -137157.45    
     33000   2416.5769      1115.3984      4397.8026     -137163.26    
     33100   2480.1866     -3946.5644      4343.5977     -137164.38    
     33200   2641.1908     -1437.9186      4281.6385     -137163.01    
     33300   2668.8883      19474.623      4239.5241     -137160.09    
     33400   2501.2028      766.62115      4294.9301     -137163.46    
     33500   2332.694       141.45166      4380.9254     -137165.12    
