LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.012944576 0.012944576 0.012944576) to (16.280055 16.280055 16.280055)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.031 seconds
The scaling is : 2.85e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.076 | 3.076 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2647.6639      4808.4879      4304.5849     -137164.13    
       100   2468.1394      14333.631      4329.6244     -137163.22    
       200   2291.0291     -7519.5025      4423.4233     -137165.46    
       300   2331.8112     -7258.9787      4478.2651     -137163.24    
       400   2452.5961     -4558.6257      4471.7052     -137162.42    
       500   2519.7208      10984.038      4450.3902     -137160.28    
       600   2656.0262     -2842.8933      4485.1173     -137160.28    
       700   2595.8657     -3446.7084      4519.3964     -137156.86    
       800   2504.8363     -7429.8849      4501.808      -137162.06    
       900   2525.413       5998.1562      4443.1383     -137167.42    
      1000   2268.6557     -1738.8265      4407.9386     -137159       
      1100   2564.3176      1375.8849      4357.8479     -137160.1     
      1200   2874.974       12832.876      4329.2898     -137167.36    
      1300   2555.2842      948.08604      4384.8327     -137164.36    
      1400   2497.6991      193.90339      4448.7647     -137166.33    
      1500   2339.7012     -8540.656       4507.2961     -137163.66    
      1600   2507.1746      5070.0591      4519.6853     -137158.9     
      1700   2628.6892     -4387.468       4519.0109     -137159.38    
      1800   2448.6628     -1847.5566      4485.4904     -137156.32    
      1900   2654.6117     -3234.9914      4410.0333     -137162.66    
      2000   2461.5028      11263.976      4308.0646     -137165.67    
      2100   2515.6659      10175.967      4264.497      -137171.7     
      2200   2399.9976      3758.3708      4300.9221     -137169.03    
      2300   2601.5961     -3690.1223      4369.2298     -137167.27    
      2400   2733.1993     -455.01856      4439.4481     -137163.86    
      2500   2426.69       -10360.299      4529.2297     -137156.14    
      2600   2622.6678      1579.4661      4556.564      -137160.57    
      2700   2487.8589     -9639.6344      4575.7489     -137155.97    
      2800   2560.475      -3376.3217      4531.0059     -137156.55    
      2900   2650.1934      9120.903       4433.5509     -137158.63    
      3000   2426.004      -2721.1159      4368.9605     -137161.22    
      3100   2401.1132      11191.089      4319.9633     -137164.25    
      3200   2481.661      -10198.908      4322.1701     -137165.4     
      3300   2599.0069      8536.0012      4316.4176     -137162.93    
      3400   2558.0885      3166.5397      4362.5414     -137155.04    
