LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.010294123 0.010294123 0.010294123) to (16.282706 16.282706 16.282706)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.147 seconds
The scaling is : 2.85e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.076 | 3.077 | 3.077 Mbytes
   Step          Temp          Press          Volume         PotEng    
      9200   2590.3344      2945.2578      4343.4363     -137160.44    
      9300   2553.3667     -1632.4159      4409.5316     -137160.16    
      9400   2301.3841     -5801.2399      4445.8038     -137156.6     
      9500   2372.1035     -5264.1808      4426.4084     -137161.78    
      9600   2442.4329     -5068.7483      4384.708      -137160.34    
      9700   2644.7518      10129.641      4341.458      -137159.61    
      9800   2444.5594      35.58359       4351.3963     -137155.26    
      9900   2401.682      -6053.9105      4357.3264     -137162.82    
     10000   2332.734       2223.0635      4310.1516     -137163.49    
     10100   2512.7418      3940.8566      4234.231      -137166.7     
     10200   2478.7944      15905.778      4183.0108     -137164.63    
     10300   2566.2693      465.48623      4220.0948     -137167.13    
     10400   2485.687       3.6176183      4312.5728     -137162.13    
     10500   2658.729      -6526.5193      4425.237      -137158.52    
     10600   2542.5962     -10717.318      4512.9432     -137155.66    
     10700   2339.387      -9521.633       4512.6374     -137156.14    
     10800   2329.3632      1811.051       4424.1314     -137156.49    
     10900   2722.9093      10169.029      4324.74       -137157.72    
     11000   2813.2332      1713.939       4298.634      -137158.03    
     11100   2517.4954      5715.142       4316.1844     -137158.04    
     11200   2438.8657      3920.4136      4354.3742     -137159.82    
     11300   2405.5675      1852.6198      4378.8551     -137161.07    
     11400   2434.5269     -10160.054      4365.3061     -137158.26    
     11500   2761.3069      945.73876      4318.0937     -137161.29    
     11600   2399.7609      14849.726      4302.052      -137156.14    
     11700   2526.7065      3896.9623      4328.7963     -137163.82    
     11800   2547.0526     -5585.0019      4388.1476     -137163.63    
     11900   2476.5009     -8225.6322      4434.9564     -137158.36    
     12000   2732.7508     -1135.4944      4415.4488     -137160.77    
     12100   2545.4032      4380.9293      4377.2397     -137154.1     
     12200   2414.922       5959.3742      4347.3676     -137158.8     
     12300   2335.916      -4423.8382      4309.7166     -137162.49    
     12400   2571.0314      5189.4409      4250.0775     -137165.69    
     12500   2656.7766      8691.1558      4238.8449     -137164.78    
     12600   2480.8864     -3242.2008      4307.4663     -137158.45    
     12700   2490.4411      4744.11        4380.6734     -137158.92    
     12800   2328.2727     -222.30033      4458.7392     -137155.11    
     12900   2511.8605     -13530.55       4510.3474     -137153.26    
     13000   2719.7817     -3578.5353      4463.6183     -137155.95    
     13100   2505.7965      13242.976      4399.7832     -137158.11    
     13200   2456.2881      676.9198       4373.8751     -137160.93    
     13300   2596.8014     -3921.5638      4348.5985     -137165.83    
     13400   2274.8398      1261.4357      4312.811      -137158.26    
     13500   2566.3692      6717.0034      4270.2865     -137160.24    
     13600   2751.2665      5228.5448      4288.7804     -137160.52    
     13700   2528.8485     -6073.1889      4367.2416     -137161.03    
     13800   2428.4792     -15280.165      4407.5879     -137162.86    
     13900   2504.6299      3633.1375      4360.707      -137164.05    
     14000   2499.1677      6239.1365      4311.8476     -137164.61    
     14100   2477.1873      2788.4186      4305.559      -137166.76    
     14200   2384.7421      4158.8059      4350.5317     -137166.42    
     14300   2395.3237     -1552.522       4440.3229     -137160       
     14400   2541.6181     -11882.277      4513.5632     -137156.77    
     14500   2622.8335      3947.2821      4537.8761     -137155.7     
