# Radius(A)    g(r)
      0.0400       0.0000
      0.1200       0.0000
      0.2000       0.0000
      0.2800       0.0000
      0.3600       0.0000
      0.4400       0.0000
      0.5200       0.0000
      0.6000       0.0000
      0.6800       0.0000
      0.7600       0.0000
      0.8400       0.0000
      0.9200       0.0000
      1.0000       0.0000
      1.0800       0.0000
      1.1600       0.0000
      1.2400       0.0000
      1.3200       0.0000
      1.4000       0.0000
      1.4800       0.0000
      1.5600       0.0000
      1.6400       0.0000
      1.7200       0.0000
      1.8000       0.0000
      1.8800       0.0000
      1.9600       0.0145
      2.0400       0.0834
      2.1200       0.3309
      2.2000       0.8285
      2.2800       1.4807
      2.3600       1.8327
      2.4400       2.0612
      2.5200       1.9422
      2.6000       1.7374
      2.6800       1.4747
      2.7600       1.3303
      2.8400       1.1957
      2.9200       0.9966
      3.0000       0.9469
      3.0800       0.9271
      3.1600       0.9031
      3.2400       0.9004
      3.3200       0.9419
      3.4000       0.9029
      3.4800       0.9074
      3.5600       0.8979
      3.6400       0.9800
      3.7200       0.9952
      3.8000       1.0121
      3.8800       1.0186
      3.9600       0.9992
      4.0400       1.0135
      4.1200       1.0114
      4.2000       0.9979
      4.2800       1.0171
      4.3600       0.9899
      4.4400       0.9810
      4.5200       0.9951
      4.6000       0.9657
      4.6800       1.0015
      4.7600       0.9709
      4.8400       0.9835
      4.9200       0.9745
      5.0000       0.9672
      5.0800       1.0035
      5.1600       0.9779
      5.2400       1.0167
      5.3200       0.9997
      5.4000       0.9980
      5.4800       1.0173
      5.5600       0.9979
      5.6400       1.0487
      5.7200       1.0412
      5.8000       1.0149
      5.8800       1.0235
      5.9600       1.0567
      6.0400       1.0298
      6.1200       1.0110
      6.2000       1.0078
      6.2800       1.0250
      6.3600       1.0069
      6.4400       1.0122
      6.5200       1.0186
      6.6000       1.0041
      6.6800       0.9918
      6.7600       0.9792
      6.8400       0.9633
      6.9200       0.9983
      7.0000       0.9789
      7.0800       1.0011
      7.1600       0.9871
      7.2400       0.9859
      7.3200       0.9913
      7.4000       0.9940
      7.4800       1.0103
      7.5600       1.0085
      7.6400       1.0085
      7.7200       0.9935
      7.8000       1.0048
      7.8800       1.0172
      7.9600       1.0100
