LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.08237604 -0.08237604 -0.08237604) to (16.375376 16.375376 16.375376)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.322 seconds
The scaling is : 3.41e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.075 | 3.075 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
      9200   2290.6203     -4090.3127      4395.798      -137163.94    
      9300   2543.4181     -3109.774       4468.3563     -137162.07    
      9400   2508.5329     -8298.1047      4499.2394     -137157.76    
      9500   2520.1105      4526.968       4491.2017     -137157.75    
      9600   2513.283       4117.1554      4492.237      -137160.41    
      9700   2218.1089     -439.9131       4504.4957     -137157.37    
      9800   2496.4913     -11672.264      4485.5282     -137166.77    
      9900   2641.8321     -12701.6        4414.067      -137164.81    
     10000   2984.6244      4094.3305      4305.3157     -137172.59    
     10100   2522.5183      11486.985      4262.7342     -137168.98    
     10200   2456.9695      4064.3585      4297.043      -137170.83    
     10300   2381.0748     -7089.5564      4351.3391     -137169.65    
     10400   2511.6267     -13280.067      4360.3654     -137169.42    
     10500   2516.2726      6095.1539      4332.3187     -137161.34    
     10600   2707.1219     -1889.7956      4327.7688     -137166.69    
     10700   2474.0421      5375.2469      4321.2271     -137168.84    
     10800   2316.7479     -2346.7454      4335.3482     -137164.15    
     10900   2595.9971      1965.2811      4334.5258     -137166.44    
     11000   2391.4907     -111.36205      4364.1072     -137158.74    
     11100   2664.767      -1074.4504      4397.911      -137164.48    
     11200   2417.8987     -2660.1216      4401.3996     -137163.12    
     11300   2362.8852      2279.2496      4365.9201     -137167.71    
     11400   2334.2049     -7817.3202      4340.2735     -137165.86    
     11500   2715.5254      10347.649      4303.7714     -137167.91    
     11600   2696.0294      7970.0854      4317.1706     -137166.94    
     11700   2494.9442     -656.67584      4391.9275     -137165.85    
     11800   2312.7963     -11292.877      4469.6028     -137161.29    
     11900   2519.0041      4138.6578      4488.7667     -137161.35    
     12000   2544.2494     -4115.8953      4504.1916     -137157.81    
     12100   2505.1156      11462.879      4500.8629     -137157.57    
     12200   2533.4522     -10302.255      4530.483      -137164.57    
     12300   2282.3413     -14279.18       4494.6548     -137166.78    
     12400   2469.0461     -5097.1322      4361.7289     -137168.12    
     12500   2668.0741      18766.756      4219.6814     -137167.44    
     12600   2647.1459      10011.636      4196.1165     -137170.77    
     12700   2399.9011      946.39413      4266.0093     -137170.6     
     12800   2325.6655     -9094.8887      4345.3869     -137167.15    
     12900   2552.8356     -1314.0215      4388.4921     -137166.48    
     13000   2497.334       4261.9001      4419.9631     -137164.86    
     13100   2583.9087      707.87514      4447.4871     -137168.71    
     13200   2572.7701     -4017.3823      4452.8895     -137165.3     
     13300   2767.8195      11750.63       4444.3847     -137161.53    
     13400   2597.0258     -11895.265      4457.1146     -137160.73    
     13500   2605.2987     -10581.641      4414.6982     -137168.74    
     13600   2455.4618     -2106.3358      4357.6864     -137166.63    
     13700   2462.6204      2394.4355      4309.106      -137165.22    
     13800   2652.5541      11788.735      4292.9172     -137165.64    
     13900   2610.5061      11782.615      4335.9045     -137160.86    
     14000   2491.3134     -12445.458      4400.8345     -137166.11    
     14100   2342.1904      3450.6192      4393.5876     -137166.18    
     14200   2425.5584     -6262.995       4373.4464     -137166.3     
     14300   2586.9763      8799.2546      4349.9852     -137164.19    
     14400   2650.8467      5466.2681      4392.0354     -137161.15    
     14500   2391.1198     -5.4920638      4480.8651     -137160.21    
     14600   2193.3482     -4229.7269      4539.7126     -137164       
     14700   2286.7757     -13558.474      4507.9697     -137162.25    
     14800   2652.6245     -3758.6014      4395.6836     -137164.66    
     14900   2541.5134      12276.713      4295.5776     -137161.88    
     15000   2431.2065      6571.522       4265.7236     -137165.81    
     15100   2516.9669      5056.0299      4296.0471     -137170.47    
     15200   2582.8436      259.40817      4356.1737     -137170.07    
     15300   2557.4447     -4784.1158      4400.8942     -137166.71    
     15400   2682.6099      10809.448      4432.5365     -137163.34    
     15500   2708.4739     -8962.5738      4519.3138     -137159.55    
     15600   2500.1633     -11748.103      4564.2741     -137155.18    
     15700   2609.2972     -3451.5887      4523.2898     -137164.88    
     15800   2310.4107     -1350.0936      4478.2471     -137163.02    
