# Time(ps)    MSD_potential 22(A^2)    MSD_potential 26(A^2)    MSD_pruned_1(A^2)    MSD_pruned_2(A^2)    MSD_pruned_3(A^2)
      8.7000     226.4950     217.6057     212.1653     224.5490     230.5077
      8.8000     230.9457     219.0037     213.7887     227.4532     234.0444
      8.9000     234.4255     219.9439     215.5797     232.7440     235.5525
      9.0000     237.3917     220.9813     217.5930     236.5323     236.0205
      9.1000     242.6647     222.5323     221.8712     237.9389     238.0891
      9.2000     246.5405     223.5347     225.4643     239.1838     240.6964
      9.3000     249.9325     228.5495     227.1327     242.1175     245.5113
      9.4000     254.9715     231.6185     228.8185     246.4746     246.9870
      9.5000     257.4801     233.0153     230.7374     249.2035     249.3124
      9.6000     259.2162     234.2441     231.6174     252.5631     250.6942
      9.7000     263.3700     236.7661     232.5358     256.6933     252.5025
      9.8000     266.2506     239.9022     235.1724     260.5872     255.6741
      9.9000     269.5812     242.8352     240.3481     264.3339     258.7302
     10.0000     273.3769     247.0528     244.6317     267.7406     261.5820
     10.1000     276.7493     252.7947     246.8906     270.8211     262.8670
     10.2000     277.6028     255.8564     252.5316     272.2832     263.1673
     10.3000     279.9001     256.1046     256.7168     273.7791     264.6163
     10.4000     282.4674     259.3768     260.3635     276.5367     265.2668
     10.5000     284.1092     262.3095     260.4788     279.9568     266.4008
     10.6000     287.6437     264.9012     260.6930     282.2260     268.7625
     10.7000     291.5710     264.9935     263.5771     284.1362     269.0647
     10.8000     293.2867     267.1917     265.3458     286.6956     270.3524
     10.9000     297.0970     269.1640     266.4472     288.8568     271.2356
     11.0000     298.7751     270.3037     270.0819     289.1611     269.0466
     11.1000     303.2196     270.5647     272.3892     290.1113     267.9338
     11.2000     305.6365     273.0124     274.8640     293.7648     269.9002
     11.3000     308.1147     277.5119     276.9754     298.5686     270.1966
     11.4000     312.6975     280.1730     278.9276     302.2305     272.1430
     11.5000     314.4551     282.4816     281.9608     303.4452     274.5486
     11.6000     317.9866     285.3433     284.5157     307.8817     278.4675
     11.7000     320.7040     292.1483     287.1027     308.7150     282.0945
     11.8000     322.5219     293.4485     292.9919     307.4032     286.8629
     11.9000     326.7321     292.6218     295.3826     308.7385     287.8541
     12.0000     330.8113     294.7505     295.8862     312.3705     287.6331
     12.1000     334.1249     297.7541     296.0279     315.3618     290.1962
     12.2000     341.2281     302.1828     299.6079     317.8227     295.0789
     12.3000     343.9555     305.3289     302.6137     320.6971     298.3839
     12.4000     347.4328     308.9043     306.7250     325.7658     301.1940
     12.5000     348.1252     310.8158     311.3506     326.6709     300.8673
     12.6000     351.0071     315.6034     314.0836     328.5836     304.3161
     12.7000     353.9637     321.4508     316.1949     331.1426     305.0616
     12.8000     358.7726     325.5991     318.9164     333.8304     305.2555
     12.9000     362.2372     328.0557     321.5588     333.9438     308.2805
     13.0000     366.3680     328.5848     324.4606     335.3796     309.6443
     13.1000     369.2768     331.4295     326.9800     337.6472     309.3089
     13.2000     372.8412     331.4291     328.0612     341.3086     311.4354
     13.3000     375.2223     333.6952     332.0951     343.7853     314.5182
     13.4000     378.6447     331.3646     334.3965     345.3280     317.0075
     13.5000     383.3417     331.4033     336.7478     347.2670     316.0012
     13.6000     386.7492     336.6609     340.1422     349.1717     319.5060
     13.7000     389.5660     341.2617     342.1429     351.6431     320.4234
     13.8000     390.7533     344.7963     343.1165     354.5041     323.1734
     13.9000     391.2302     347.5818     344.1667     360.1478     327.0783
     14.0000     393.3822     349.4875     342.8435     364.7881     330.1273
     14.1000     396.2130     352.9467     345.2506     369.4436     330.3826
     14.2000     398.7825     354.8666     345.8516     371.5231     329.3408
     14.3000     401.0740     357.2014     346.5012     373.7900     330.8917
     14.4000     401.9867     358.5600     349.6538     375.9744     333.7313
     14.5000     402.8037     363.2985     350.5760     375.5302     337.5768
     14.6000     403.6497     367.6520     354.2609     378.1968     342.0913
     14.7000     406.0270     370.9471     357.9805     380.7174     346.2584
     14.8000     407.2752     370.1449     360.9142     382.4887     350.2628
     14.9000     410.1002     374.3291     364.7898     384.8117     353.5259
     15.0000     410.2135     376.3506     365.6174     392.0042     354.6783
     15.1000     409.0252     382.5410     368.6009     394.5446     355.1291
     15.2000     407.8373     384.7320     368.2647     397.0177     359.0498
     15.3000     407.6926     388.8970     371.3382     398.9096     362.3955
     15.4000     412.6496     395.7226     374.7572     398.3486     366.8719
     15.5000     416.9297     401.4121     377.2777     400.2907     369.8495
     15.6000     420.6773     406.1768     379.2560     400.4646     369.4003
     15.7000     423.8683     408.9185     381.7769     404.3998     369.6965
     15.8000     426.6602     412.9937     384.4084     407.8683     372.4739
     15.9000     427.2357     413.9502     387.5942     414.8413     374.4353
     16.0000     429.9290     419.1783     391.5629     418.6766     377.6149
     16.1000     431.7106     425.3817     391.9012     422.1437     379.5828
     16.2000     433.5166     428.3385     393.8157     428.2239     380.2656
     16.3000     433.8225     430.2637     397.6003     432.1730     381.8222
     16.4000     438.9868     435.6791     400.2952     434.5734     382.3969
     16.5000     443.9696     438.6964     402.9488     436.6773     385.6172
     16.6000     445.8135     443.6043     405.1760     442.1508     387.7881
     16.7000     444.9146     447.2273     405.6662     449.2400     389.8968
     16.8000     444.9512     452.6239     409.6630     454.9766     393.1836
     16.9000     447.2291     456.3856     412.6784     458.3453     394.4320
     17.0000     450.4480     459.6144     415.0859     458.6733     396.4034
     17.1000     455.3596     462.6114     417.7017     462.0105     398.2285
     17.2000     457.4455     466.2374     418.5924     465.2152     400.1477
     17.3000     455.8527     472.5646     418.1567     465.3472     405.4534
     17.4000     455.7539     475.8203     419.5577     467.3234     410.9903
     17.5000     457.8880     480.2596     421.1688     470.1617     415.4508
     17.6000     458.9223     484.8347     422.9415     473.8471     418.1730
     17.7000     459.2320     490.7945     424.8031     477.5321     422.7008
     17.8000     463.0740     498.0732     426.1980     478.7618     427.8291
     17.9000     468.7553     500.3858     427.7390     483.4337     433.4706
     18.0000     468.7433     503.0309     429.6432     485.6065     437.2180
     18.1000     473.1114     508.1657     433.6288     491.4622     437.4486
     18.2000     476.6599     511.2332     437.8183     497.7559     436.8745
     18.3000     478.7349     512.4232     437.7121     501.1363     436.4897
     18.4000     480.6828     513.6985     438.5658     501.1688     438.5582
     18.5000     481.6259     511.8156     440.0739     503.4978     439.1499
     18.6000     487.1753     511.5536     440.7935     503.7739     440.0470
     18.7000     491.0533     515.0439     442.2079     503.5422     442.8022
     18.8000     493.2444     515.1146     446.4547     503.6377     443.1126
     18.9000     497.3418     516.3239     448.6628     504.7884     445.9297
     19.0000     499.0035     520.5991     450.1525     501.9481     448.9153
     19.1000     500.4397     523.9139     452.7243     499.6631     453.4918
     19.2000     503.8710     528.9559     452.8020     496.9247     455.6296
     19.3000     507.7234     532.8271     456.1424     494.6886     458.2843
     19.4000     509.8440     536.1700     456.7990     494.3611     462.8272
     19.5000     511.9138     535.9317     457.9660     494.8369     465.7253
     19.6000     514.9543     539.3253     463.1141     495.4367     470.8616
     19.7000     517.9049     539.3100     465.6896     497.9107     477.8371
     19.8000     519.1893     541.4146     466.4719     500.6979     481.1226
     19.9000     522.5813     547.0092     465.5832     501.7371     484.3361
     20.0000     525.4692     550.8752     466.4414     504.4695     486.3453
     20.1000     531.6902     550.1774     466.7878     505.2666     488.7163
     20.2000     535.6331     552.5229     465.7623     507.7765     490.1712
     20.3000     537.5247     554.0954     466.7270     510.1167     493.5890
     20.4000     538.5161     560.3773     468.4317     512.6495     495.2090
     20.5000     537.9514     562.5215     471.2673     514.0627     498.8497
     20.6000     539.0748     566.9443     473.5097     517.6293     507.7954
     20.7000     543.2122     572.2230     474.2682     522.9470     509.4544
     20.8000     548.6571     575.4870     475.7945     523.9536     512.7059
     20.9000     550.6154     577.6081     476.6041     527.6541     512.8488
