LAMMPS (12 Jun 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.08237604 -0.08237604 -0.08237604) to (16.375376 16.375376 16.375376)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  216 atoms
  reading velocities ...
  216 velocities
  read_data CPU = 0.045 seconds
The scaling is : 2.85e-02.
There are 2 species.
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.7
  ghost atom cutoff = 7.7
  binsize = 3.85, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mtp, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.075 | 3.075 | 3.076 Mbytes
   Step          Temp          Press          Volume         PotEng    
         0   2583.5079     -9755.3125      4457.7073     -137158.27    
       100   2531.7671      6112.1928      4430.3253     -137161.43    
       200   2461.2801     -6626.2304      4413.3821     -137166.68    
       300   2305.7259      3569.3753      4369.3994     -137163.61    
       400   2565.5685      1436.2309      4316.1463     -137169.29    
       500   2567.744       8151.0608      4284.4768     -137166.72    
       600   2674.7654      7991.9762      4313.8492     -137166.63    
       700   2703.1988      3281.4404      4404.2487     -137161.8     
       800   2328.9457     -8718.3041      4492.8045     -137153.35    
       900   2436.9939     -12973.242      4516.3764     -137157.8     
      1000   2713.9342     -3243.5514      4475.4144     -137158.37    
      1100   2631.3036      3333.7223      4434.3316     -137155.93    
      1200   2375.58       -1656.9791      4413.8591     -137158.81    
      1300   2701.3703     -4488.3852      4364.0396     -137168.91    
      1400   2432.3744      10556.99       4292.907      -137163.74    
      1500   2405.5032      1185.5643      4260.5187     -137167.56    
      1600   2249.4878      3131.4934      4255.4257     -137166.72    
      1700   2384.6087      10300.77       4268.2818     -137163.33    
      1800   2556.1733      2485.7098      4300.1989     -137161.25    
      1900   2650.1753     -423.67377      4345.6866     -137165.83    
      2000   2386.5369     -4037.1796      4417.6282     -137164.28    
      2100   2329.6522     -4181.2303      4463.1093     -137164.22    
      2200   2488.6862     -2832.4313      4440.7671     -137158.37    
